cik,filing_date,form,year,quarter,month,asset_retirement_attention,business_combinations_attention,cash_attention,collaborative_arrangements_attention,commitments_and_contingencies_attention,compensation_attention,consolidation_attention,debt_attention,deferred_revenue_attention,derivatives_and_hedging_attention,equity_attention,fair_value_attention,financial_services_attention,goodwill_and_intangibles_attention,insurance_attention,inventory_attention,investment_attention,leases_attention,liabilities_attention,oil_and_gas_attention,other_assets_attention,pension_and_post_employment_attention,PPE_attention,real_estate_attention,receivables_attention,related_party_attention,research_and_development_attention,restructuring_attention,revenue_attention,tax_attention,transfers_and_servicing_attention,warranties_and_guarantees_attention,asset_retirement_sentiment,business_combinations_sentiment,cash_sentiment,collaborative_arrangements_sentiment,commitments_and_contingencies_sentiment,compensation_sentiment,consolidation_sentiment,debt_sentiment,deferred_revenue_sentiment,derivatives_and_hedging_sentiment,equity_sentiment,fair_value_sentiment,financial_services_sentiment,goodwill_and_intangibles_sentiment,insurance_sentiment,inventory_sentiment,investment_sentiment,leases_sentiment,liabilities_sentiment,oil_and_gas_sentiment,other_assets_sentiment,pension_and_post_employment_sentiment,PPE_sentiment,real_estate_sentiment,receivables_sentiment,related_party_sentiment,research_and_development_sentiment,restructuring_sentiment,revenue_sentiment,tax_sentiment,transfers_and_servicing_sentiment,warranties_and_guarantees_sentiment
0000925495,1994-11-14,10-Q,1994,QTR4,11,0.0,0.0047169811320754715,0.0,0.0,0.014150943396226415,0.0047169811320754715,0.0,0.0047169811320754715,0.0,0.0,0.014150943396226415,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014150943396226415,0.0047169811320754715,0.0047169811320754715,0.0,0.0,0.0,0.009433962264150943,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000077449,1994-12-13,10-Q,1994,QTR4,12,0.0,0.0,0.0,0.0,0.025210084033613446,0.025210084033613446,0.0,0.008403361344537815,0.0,0.0,0.03361344537815126,0.0,0.0,0.0,0.0,0.008403361344537815,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000812708,1994-11-10,10-Q,1994,QTR4,11,0.0,0.0,0.00641025641025641,0.0,0.00641025641025641,0.02564102564102564,0.0,0.00641025641025641,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
0000004829,1994-11-14,10-Q,1994,QTR4,11,0.0,0.016304347826086956,0.0,0.0,0.02717391304347826,0.005434782608695652,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.005434782608695652,0.016304347826086956,0.0,0.0,0.0,0.0,0.005434782608695652,0.02717391304347826,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.010869565217391304,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
0000216275,1994-10-25,10-K,1994,QTR4,10,0.0,0.0,0.0,0.0020920502092050207,0.016736401673640166,0.06903765690376569,0.0,0.016736401673640166,0.0,0.0,0.012552301255230125,0.0,0.0,0.0,0.0,0.0,0.0,0.0020920502092050207,0.0,0.0,0.0,0.0020920502092050207,0.0020920502092050207,0.0,0.0,0.0020920502092050207,0.006276150627615063,0.02092050209205021,0.0041841004184100415,0.006276150627615063,0.0,0.0,0.0,0.0,0.0,1.0,-0.25,0.8787878787878788,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
0000051207,1994-10-11,10-Q,1994,QTR4,10,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000216085,1994-11-14,10-Q,1994,QTR4,11,0.0,0.0,0.0,0.0,0.007633587786259542,0.015267175572519083,0.0,0.015267175572519083,0.0,0.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.007633587786259542,0.007633587786259542,0.0,0.007633587786259542,0.0,0.0,0.0,0.007633587786259542,0.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000712537,1994-11-14,10-Q,1994,QTR4,11,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0047169811320754715,0.0,0.0,0.0,0.009433962264150943,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0
0000858558,1994-11-14,10-Q,1994,QTR4,11,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.007874015748031496,0.023622047244094488,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023622047244094488,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0000021665,1994-11-14,10-Q,1994,QTR4,11,0.0,0.0,0.0,0.0,0.010309278350515464,0.020618556701030927,0.0,0.010309278350515464,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.005154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0000104894,1994-11-14,10-Q,1994,QTR4,11,0.0,0.0,0.008130081300813009,0.0,0.016260162601626018,0.0,0.0,0.024390243902439025,0.0,0.0,0.016260162601626018,0.0,0.0,0.0,0.0,0.0,0.032520325203252036,0.008130081300813009,0.008130081300813009,0.0,0.0,0.0,0.0,0.032520325203252036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
